"U1","U2","group"
5.44582075460788,1.68747041125644,1
0.603518909057344,-12.7864570866073,2
3.44089645727512,1.60718724627841,3
-12.8502202572024,1.01356098552097,4
6.04705948217746,7.6948361148392,5
4.34987348898288,2.55732247729648,1
5.60703367575046,4.45665976901401,6
5.55625957830783,4.9470300426041,6
6.68341535910007,3.61626264949191,6
-13.152564579407,1.16295764346469,4
0.622616892894471,-12.7805938969101,2
5.95359749182102,1.32531425853122,1
4.6928224025571,2.02116796870578,3
-12.8145671428836,-0.31435775260579,7
6.69506878240939,3.50869152446139,6
7.25258726461765,2.48641273875583,8
-14.0822711528933,-1.07811369995725,7
6.03666252478,4.65481898684848,6
-12.3828368724978,0.424652134374267,7
4.07712311132785,1.79881343741763,3
0.544696277221406,-12.8896284351791,2
0.356293982108796,-14.2810678730453,2
0.392080193599427,-13.1731577167953,2
7.33286136968967,2.56888649363864,8
-13.8453202785647,-1.25317850212705,7
0.247437661727632,-13.3245287189926,2
7.28457779272434,2.25552341838229,8
5.80376858099338,1.56017587085117,1
-12.6668916286624,1.71017274756778,4
6.3817495761716,0.625105534986144,1
3.96146864279147,2.91162321467746,3
-12.3398118557132,2.27621195216525,4
6.86410993917819,3.04969260592807,8
-0.217933060387408,-14.060044313475,2
-13.0575290264285,-0.161926465734357,7
4.00475448950168,1.69658908744205,3
-12.3365932048953,0.0529213001285852,7
6.11757702215549,2.79065582652438,8
-13.8679633678592,-1.16599168877255,7
-12.6136489452517,1.41732594867099,4
5.92132133825656,1.23746702571262,1
4.89631695135471,7.60743853946078,5
5.68624061926242,4.80088469882358,6
5.38704008444186,3.8358444919144,6
5.82694048269626,1.89518055816043,1
5.2634200511777,0.848120247319824,1
4.75645059927341,0.81849530835498,3
4.69332689627048,2.32172582049716,3
6.59995693548557,1.75288436313022,1
-12.9446759761966,-0.229586089655274,7
6.84934229238864,0.880692039922363,1
-12.4804025234378,2.02742431063998,4
-14.681804233948,-0.56671353678357,7
-12.2745452465213,1.81186923880923,4
-12.3878484310305,1.72346577544559,4
6.3177413402402,1.38138458629001,1
4.70167106970187,0.756818746522552,1
0.537417656024659,-12.9850626240219,2
-13.2702527584231,-0.442760313555115,7
3.72202128752109,1.97181579966891,3
-12.2921128811038,-0.0718094470645129,7
-12.1396184505618,0.514752780393249,7
6.04824251516696,1.22975525756229,1
6.71486038549777,0.898777579263336,1
5.66733211859103,7.97923562426913,5
-12.8778005184329,1.35923335452426,4
6.1559514461362,1.60333034892429,1
-12.4566054882205,1.69635507960666,4
4.15973801000949,2.39938685794223,3
4.39931959493991,2.46300384898532,3
6.57512134893771,1.10548803706515,1
4.53784603460666,1.40992209811557,3
4.48106664999362,2.52061960597385,3
5.59994596823093,8.1569680919205,5
-0.363740989724433,-14.0161514530624,2
4.48202795370456,1.96939632792819,3
5.66177172048923,8.01172921557773,5
5.51297087057468,1.19100794692386,1
0.502181416591371,-13.2985401401962,2
5.16991466863986,1.92834112544406,3
4.50496334417697,1.13387117286075,3
5.50883812292453,0.85096875329364,1
-12.5577292980349,-0.693408931299561,7
