418,2021,1262,1815,631,1808,1656,2352,2191,832
1224,1534,10,304,1016,2269,778,1301,2357,284
1540,2611,1449,790,745,1459,1729,2508,1060,2072
1067,838,939,934,2029,618,2311,2496,1415,2665
1696,161,921,1178,1533,1888,296,146,1941,472
1692,2046,114,1780,2678,1885,699,2456,534,684
2128,168,524,511,1289,2064,42,343,2618,994
1418,511,2257,631,457,2124,2128,1834,1205,1239
1275,2032,687,1455,894,2153,14,457,2277,1866
2443,583,2514,1120,390,2455,263,1118,2633,1277
1,304,1224,778,645,1534,110,1849,660,20
1083,2282,573,703,904,1023,2576,2310,920,2021
1597,1401,1302,1156,1472,1272,2601,534,530,1532
2186,1226,1984,952,1969,58,1741,1041,34,82
894,1455,2336,1419,1500,1275,109,687,32,1063
1270,2573,1093,251,1454,755,625,1385,428,2259
350,1599,1809,24,1630,376,1574,1048,1926,1770
84,522,220,431,1168,168,1251,1155,1426,2304
2490,2291,2380,1525,2123,1671,2207,1786,97,606
2324,1396,1851,2527,858,1229,828,598,1216,1701
882,110,2267,2622,2081,1224,10,1356,370,164
419,602,1116,196,420,120,1132,2675,401,1453
816,164,1068,78,2100,902,950,713,284,1674
2073,676,2234,2203,221,1977,1487,1771,251,625
1599,38,1926,350,16,320,2575,2376,2635,1294
1104,2357,284,2682,1129,265,1439,869,2271,2463
1470,529,1882,221,551,1347,2188,1084,1174,949
1086,773,418,1756,669,1008,700,1845,2515,968
1211,1047,817,2421,1927,2427,118,1584,2062,1709
2228,1015,619,2043,2239,2399,2273,2487,1417,2020
1318,1611,552,260,382,728,821,2601,2150,294
1755,1978,186,1485,971,2264,2151,302,2197,267
2505,1159,2515,2589,2055,283,1196,2674,195,625
582,1873,2499,1673,1708,120,1521,386,2215,2193
630,1161,594,590,618,1552,2106,2390,738,1602
548,156,2541,2527,2570,2532,351,1694,1859,1456
1602,1805,480,276,1605,158,1786,100,1001,2317
2190,1147,744,1256,980,2196,2535,806,72,2674
24,1599,825,1585,2376,350,2218,311,87,1811
2393,121,1007,1709,2599,1876,1047,493,1362,2029
463,1721,2437,1078,1667,11,497,1369,2487,62
572,1711,2255,2149,856,291,1964,2431,355,2052
511,168,1834,84,2153,457,2504,1009,2010,2257
945,197,2261,1078,176,685,2465,470,2131,783
1845,1040,1262,2171,27,418,1815,968,79,860
2597,968,2213,411,2520,135,2385,1262,173,1479
1390,1532,964,1705,2066,1414,1286,2385,2213,1043
116,906,1472,1897,1334,1936,1701,1828,685,492
2494,1702,2282,1400,1721,315,1732,960,1463,2346
34,391,1994,1602,101,1984,1627,1520,2470,851
802,1916,1442,2020,1728,1917,1475,1906,1371,1151
427,483,1678,1645,186,1499,817,2483,2461,2375
601,1145,298,826,1606,2381,2582,104,1079,2424
1784,1992,1658,1373,1047,1485,889,1519,493,1432
1047,1876,240,39,2427,2599,789,1580,1542,483
1475,611,70,2610,1436,633,1917,895,2189,1718
1286,682,669,1050,2613,968,964,446,1232,2429
2363,1016,652,874,289,1185,2084,902,660,432
590,1248,2186,1984,113,1653,613,763,1627,83
2578,2595,628,2080,595,1942,858,1632,1956,2413
480,437,2390,1669,1100,2667,1969,1635,670,276
715,606,2024,1958,2107,2592,1090,1411,1850,276
1717,1369,1119,1036,1475,1901,1215,1024,706,2228
2516,1273,1916,1369,949,1906,70,2542,2446,1930
2523,2026,984,2585,2098,278,154,502,200,607
838,2443,1211,2029,2455,1317,441,416,1120,3
421,2688,2604,1792,2350,901,482,835,481,2310
2022,2314,777,1542,2062,990,2421,1211,441,817
455,537,681,1284,1210,783,735,1334,890,1192
1857,2130,1291,1704,12,1156,1210,787,1284,2287
1475,895,307,1273,1369,802,832,1117,63,2228
794,890,853,406,1050,636,958,1192,2309,1260
2417,1538,2456,1357,562,2333,1492,1789,37,1364
1869,1749,76,1699,1524,2155,2026,998,1744,969
2547,1324,2042,120,2509,695,2401,1462,2275,2657
2083,1216,2130,2176,1291,236,674,1405,2158,2160
73,1749,2237,1600,2645,191,1744,833,1699,1723
2610,1337,2077,1272,1718,55,446,1336,232,62
249,1972,2212,778,2587,1943,284,795,2440,660
2033,1815,1217,2301,1262,1040,860,1357,44,870
1330,2583,127,2007,1947,1448,1058,2125,430,1401
575,1717,1735,2436,133,1646,627,1864,1108,136
1206,13,1226,1605,1572,1766,1884,743,2568,152
330,113,1574,1759,58,1048,2168,1630,1248,798
1983,1834,42,1656,2419,2504,227,2184,2500,457
801,2168,553,2138,648,212,113,961,1952,1360
783,700,770,1570,27,1721,1078,2513,430,945
909,1911,1770,2670,825,1950,2644,2691,1161,2253
108,423,1068,1135,2267,713,225,2357,491,2481
960,1008,1756,1899,348,1601,986,11,1033,1856
2411,1882,1407,1270,365,2203,2073,1450,1093,1208
1218,1522,2208,249,2587,1972,2173,1013,2448,1461
1974,1461,2215,1539,439,2677,2676,2192,1522,892
2262,1930,1044,1307,622,1979,2066,2654,2385,214
1188,299,825,2519,1975,83,399,1984,909,972
2697,864,125,386,2318,1042,651,978,1613,2680
1195,1521,983,2368,2499,261,1591,1026,603,1873
1525,1669,914,1924,972,391,2496,670,618,2390
1070,1137,2662,2592,2227,1552,1919,2568,2390,1255
839,957,1247,1769,2439,1628,1034,2437,755,2199
456,2592,809,1552,1138,158,276,1321,2506,1384
561,1669,590,2356,1054,851,1572,311,1999,1514
335,1839,450,112,781,2569,1491,1490,1221,380
373,969,132,273,998,2180,1345,1749,2454,338
826,1079,601,1680,201,2424,614,1698,1954,52
2520,2191,890,1396,2247,1815,958,465,2663,2436
863,1339,1025,2342,1640,146,1403,970,2637,246
1319,1631,2645,993,1257,862,200,1278,2069,2307
1228,88,871,1577,78,453,2267,147,1068,284
1089,894,687,1693,14,2277,1455,2032,295,2546
20,10,2357,1932,642,2057,169,375,950,2467
895,70,377,2430,348,1917,2228,1920,1475,1262
450,2591,1783,593,286,2059,1490,1517,2659,591
2168,58,83,1627,350,130,1248,1071,1734,443
1780,315,534,2282,1717,2046,1754,568,2439,1638
2261,1078,2257,379,2153,2118,32,457,1369,1306
1897,47,2678,906,1234,2092,1192,1936,1593,850
641,1048,2612,124,1282,2691,2488,1770,801,1038
121,1969,1805,1376,2455,1741,1133,2552,523,2393
2360,1475,1917,70,50,1409,2020,2185,2068,2228
2499,2096,1521,1064,420,2192,196,2215,386,1675
1007,39,493,1580,1047,2029,2393,558,1317,2543
549,26,2395,2056,379,1347,160,1995,580,1882
2544,862,405,539,2323,1009,1801,1422,235,1622
